request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_138,1344.65,affordable_with_plan,installments,2026-04-07:1256.94,2026-04-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_139,2267.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_140,13079,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_141,55245,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_142,4293.85,affordable_with_plan,installments,2024-12-05:1263.6,2024-12-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_143,8811,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_144,648.08,affordable_with_plan,installments,2026-07-04:233.34,2026-07-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_145,105613.66,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-17,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_146,81465,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_147,741.53,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_148,13181.08,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_149,36652,affordable_now,full_payment,2025-11-04:36652,2025-11-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_150,557.44,affordable_with_plan,installments,2026-01-06:496.1,2026-01-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_151,52364665,affordable_with_plan,installments,2024-09-03:26999000,2024-09-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_152,16468.77,affordable_with_plan,installments,2025-02-05:13882,2025-02-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_153,503.6,affordable_later,wait,2026-08-14:2830.8,2026-08-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_154,3379.4,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_156,15205.3,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_157,10091850,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_158,242600,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_160,944.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_161,18297950,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_162,10446200,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_163,19304000,affordable_now,full_payment,2024-09-07:19304000,2024-09-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_164,45878669.2,affordable_with_plan,installments,2025-02-04:27018000,2025-02-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_165,271705,affordable_with_plan,installments,2026-04-06:80600,2026-04-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_166,7301.95,affordable_with_plan,installments,2024-12-03:2907.6,2024-12-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_167,73890.3,affordable_with_plan,installments,2025-05-05:43802,2025-05-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_168,59443,affordable_with_plan,installments,2026-01-07:49380,2026-01-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_170,36936000,affordable_now,full_payment,2025-08-06:36936000,2025-08-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_171,310.65,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_172,23742.4,affordable_with_plan,installments,2024-06-05:10200,2024-06-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_173,83190.53,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_176,686.95,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_177,1687.24,affordable_with_plan,installments,2026-01-05:1017.6,2026-01-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_178,6559.3,affordable_with_plan,installments,2024-12-07:2938.1,2024-12-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_179,37957250,affordable_later,wait,2025-05-15:41648000,2025-05-15,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_181,1362,affordable_later,wait,2024-03-17:5059.2,2024-03-17,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_183,30277923.74,affordable_with_plan,installments,2026-04-07:26866000,2026-04-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_184,52360,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_185,783.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_186,22863.5,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_187,67435,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_188,585.3,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_191,1091.06,affordable_with_plan,installments,2025-05-03:664.4,2025-05-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_192,384.8,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_193,310.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-17,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_194,95030,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_195,1311.18,affordable_with_plan,installments,2026-01-06:1170.4,2026-01-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_197,50939000,affordable_now,full_payment,2025-11-05:50939000,2025-11-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_198,270890,affordable_with_plan,installments,2026-07-07:185800,2026-07-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_199,111332318.94,affordable_with_plan,installments,2024-09-04:23674000,2024-09-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_200,33771550,affordable_with_plan,installments,2025-02-06:21717000,2025-02-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_201,60668900,affordable_with_plan,installments,2026-04-03:23997000,2026-04-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_202,218265,affordable_with_plan,installments,2024-12-05:123900,2024-12-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.7,2025-08-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_207,11830,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,The requested amount can be paid now while keeping the required minimum balance.
request_208,6458100,affordable_with_plan,installments,2024-06-07:4413000,2024-06-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_209,8625.1,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_210,1525.32,affordable_with_plan,installments,2026-04-06:1360.02,2026-04-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_211,1227.89,affordable_later,wait,2024-09-14:1788.6,2024-09-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_212,22344000,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_213,9951.94,affordable_with_plan,installments,2026-01-07:3362.4,2026-01-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_214,117280,affordable_with_plan,installments,2024-12-04:69750,2024-12-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_215,78251.16,affordable_with_plan,installments,2025-05-06:29986,2025-05-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_216,1166.8,affordable_later,wait,2026-08-14:3332.4,2026-08-14,none,Waiting until the earliest safe date avoids dropping below the required minimum balance.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_219,1715.51,affordable_with_plan,installments,2026-04-04:1673.1,2026-04-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_220,387.32,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_221,186805,affordable_with_plan,installments,2025-11-03:109800,2025-11-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_222,90801.7,affordable_with_plan,installments,2026-01-05:34078,2026-01-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_224,27781800,affordable_with_plan,installments,2025-02-04:10327000,2025-02-04,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_225,18120459.6,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_227,42755,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_228,10557350,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_229,800.52,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,The requested amount can be paid now while keeping the required minimum balance.
request_231,35706,affordable_now,full_payment,2026-01-03:35706,2026-01-03,none,The requested amount can be paid now while keeping the required minimum balance.
request_232,1869.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_233,6241000,affordable_now,full_payment,2025-11-07:6241000,2025-11-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_234,574.25,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_235,1386.28,affordable_with_plan,installments,2024-09-06:967.2,2024-09-06,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_236,14404850,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_237,78393050,affordable_with_plan,installments,2026-04-05:23826000,2026-04-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_238,1182.07,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_240,39920,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_241,70920322.14,affordable_with_plan,installments,2024-03-03:21052000,2024-03-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_242,437.4,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The requested amount can be paid now while keeping the required minimum balance.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,The requested amount can be paid now while keeping the required minimum balance.
request_245,65760,not_affordable,not_recommended,none,,none,The requested payment cannot be made safely within the available forecast and deadline.
request_246,162392.06,affordable_with_plan,installments,2026-04-03:64086,2026-04-03,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
request_247,1519.2,affordable_with_plan,installments,2024-09-05:1059.3,2024-09-05,none,The available installment option completes the purchase by the requested deadline without breaching the minimum balance.
